진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2024,남,외래,10100,4125738,5891045,6479801,93909119400
2024,남,외래,10101,222748,246994,247069,4119402160
2024,남,외래,10102,26822,29467,29494,501684830
2024,남,외래,10103,10594,11497,11499,206170370
2024,남,외래,10140,1,1,3,80130
2024,남,외래,10180,5,5,7,3516660
2024,남,외래,10200,3202262,28374265,30731258,282331000000
2024,남,외래,10201,127614,755873,755979,8112800070
2024,남,외래,10202,19609,153653,153818,1744855890
2024,남,외래,10203,5518,38740,38776,475912360
2024,남,외래,11100,3,16,16,80000
2024,남,외래,11214,2143,12506,12506,6628180
2024,남,외래,11215,303,3158,3158,473700
2024,남,외래,11232,716,3626,3626,12364660
2024,남,외래,11233,1291,5782,5782,13761160
2024,남,외래,11274,145,1232,1232,184800
2024,남,외래,11311,112,403,403,270010
2024,남,외래,11312,1608,7889,7889,2445590
2024,남,외래,11313,2425,13986,13986,979020
2024,남,외래,11411,112,403,403,233740
2024,남,외래,11412,2015,9446,9446,3117180
2024,남,외래,11413,1707,11297,11297,903760
2024,남,외래,11600,11,42,42,629580
2024,남,외래,11700,849,2629,2629,43033840
2024,남,외래,11800,36,592,592,3220950
2024,남,외래,11900,202,279,279,1852560
2024,남,외래,12060,10,10,11,110000
2024,남,외래,12061,1,1,1,10000
2024,남,외래,12063,1,1,1,10000
2024,남,외래,12064,1,1,1,17000
2024,남,외래,13913,18,88,88,209440
2024,남,외래,13951,1070,6838,6838,12376780
2024,남,외래,13952,13840,88256,88259,141214400
2024,남,외래,13953,2229,14770,14770,20530300
2024,남,외래,20010,5465,6455,6455,32780346
2024,남,외래,20020,26557,32239,32239,186755141
2024,남,외래,20023,8503,10456,10456,116095114
2024,남,외래,20030,4462,4785,4785,31731728
2024,남,외래,20031,8226,9243,9243,50557445
2024,남,외래,20032,158131,182242,182267,939378238
2024,남,외래,20242,2,2,2,140000
2024,남,외래,20330,2,2,3,42000
2024,남,외래,28010,35,49,49,
2024,남,외래,29002,25,40,40,
2024,남,외래,29003,302,421,421,2335702
2024,남,외래,29004,3466,3649,3649,71010979
2024,남,외래,29005,44,46,46,1603320
2024,남,외래,29011,17,31,31,
2024,남,외래,29012,214,299,299,
2024,남,외래,29061,119,133,133,
2024,남,외래,29062,23,37,37,
2024,남,외래,29063,121,272,272,
2024,남,외래,29064,75,137,137,
2024,남,외래,29070,16,30,30,
2024,남,외래,30010,1076633,9285866,9286813,10773903332
2024,남,외래,30020,195356,473470,473678,632250842
2024,남,외래,30030,183497,350730,350985,530206868
2024,남,외래,30040,29194,52629,52695,89735605
2024,남,외래,30050,58668,107214,107344,199553026
2024,남,외래,30060,9849,18442,18452,38195805
2024,남,외래,30070,48121,106545,106738,235084527
2024,남,외래,30080,2314,3772,3773,9284562
2024,남,외래,30090,799,1196,1197,3088954
2024,남,외래,30100,16853,27919,27951,78693151
2024,남,외래,30110,230,300,300,858569
2024,남,외래,30120,1101,2010,2010,6192864
2024,남,외래,30130,297,447,447,1469141
2024,남,외래,30140,4944,9881,9895,34158724
2024,남,외래,30150,4180,7749,7790,27956894
2024,남,외래,30160,6040,11393,11401,49219277
2024,남,외래,30180,1051,1870,1875,9558978
2024,남,외래,30190,67,97,97,635865
2024,남,외래,40011,1511658,9051207,9051537,38232661470
2024,남,외래,40012,3908954,25002432,25004235,148860000000
2024,남,외래,40030,8511,59058,59059,273395425
2024,남,외래,40040,32565,144876,144880,608524756
2024,남,외래,40050,210433,998216,998222,4156760653
2024,남,외래,40060,1627675,8586503,8586617,38756510160
2024,남,외래,40070,1505183,7110444,7110731,32948943809
2024,남,외래,40080,2754733,17269791,17270667,80361366625
2024,남,외래,40091,2875909,16236888,16237548,64334471530
2024,남,외래,40092,6872,32944,32944,146521851
2024,남,외래,40100,8790,44202,44227,177295682
2024,남,외래,40120,1,2,2,5940
2024,남,외래,40121,8841,23485,23486,98509705
2024,남,외래,40122,282,2091,2091,8473190
2024,남,외래,40123,234,498,498,1987177
2024,남,외래,40124,2460,5669,5669,23339760
