진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2024,A00 ,남,외래,2 ,2 ,2 ,28900 ,36400 
2024,A00 ,여,외래,3 ,3 ,3 ,47870 ,57370 
2024,A000,남,외래,13 ,22 ,22 ,1036590 ,1464750 
2024,A000,남,입원,1 ,1 ,8 ,2244850 ,3152550 
2024,A000,여,외래,17 ,23 ,23 ,457880 ,615800 
2024,A001,남,외래,1 ,1 ,1 ,10340 ,14640 
2024,A009,남,외래,11 ,11 ,10 ,185250 ,287550 
2024,A009,남,입원,3 ,4 ,21 ,6698490 ,8323450 
2024,A009,여,외래,15 ,15 ,15 ,383430 ,654040 
2024,A009,여,입원,1 ,2 ,5 ,1987510 ,2585650 
2024,A010,남,외래,11 ,12 ,12 ,221460 ,431800 
2024,A010,남,입원,13 ,13 ,97 ,28786450 ,34488600 
2024,A010,여,외래,26 ,29 ,29 ,722940 ,1321290 
2024,A010,여,입원,17 ,17 ,140 ,47844530 ,58128940 
2024,A011,남,외래,3 ,3 ,3 ,47290 ,120090 
2024,A011,여,외래,2 ,9 ,9 ,647040 ,960240 
2024,A012,남,외래,3 ,4 ,4 ,41840 ,68340 
2024,A012,남,입원,1 ,2 ,7 ,2925530 ,3367720 
2024,A012,여,외래,1 ,1 ,1 ,11570 ,17770 
2024,A012,여,입원,2 ,3 ,16 ,4999130 ,5676920 
2024,A013,남,외래,3 ,3 ,3 ,78080 ,146180 
2024,A013,남,입원,3 ,3 ,25 ,8877640 ,10272180 
2024,A013,여,외래,1 ,1 ,1 ,49710 ,82810 
2024,A013,여,입원,2 ,2 ,28 ,6772560 ,8180390 
2024,A014,남,외래,7 ,7 ,7 ,866260 ,986900 
2024,A014,남,입원,6 ,6 ,61 ,18051320 ,20957210 
2024,A014,여,외래,18 ,25 ,25 ,586670 ,910930 
2024,A014,여,입원,9 ,9 ,93 ,26627650 ,32369080 
2024,A020,남,외래,1977 ,2911 ,2903 ,78173780 ,128399970 
2024,A020,남,입원,2183 ,2313 ,12852 ,3486160180 ,4180018560 
2024,A020,여,외래,1805 ,2573 ,2571 ,57598910 ,96910660 
2024,A020,여,입원,1861 ,2014 ,11916 ,3190532380 ,3865300070 
2024,A021,남,외래,59 ,101 ,101 ,2823200 ,5414590 
2024,A021,남,입원,67 ,72 ,651 ,325473130 ,396123330 
2024,A021,여,외래,26 ,36 ,35 ,824900 ,1758410 
2024,A021,여,입원,28 ,44 ,431 ,207840430 ,256672510 
