구분,진료개시년도,성별,연령,요양기관종별,환자수(명)
건강보험,2020,남자,계,종합병원이상,7209
건강보험,2020,남자,계,상급종합병원,3422
건강보험,2020,남자,계,전체 병원,7241
건강보험,2020,남자,1-4세,종합병원이상,*
건강보험,2020,남자,1-4세,상급종합병원,*
건강보험,2020,남자,1-4세,전체 병원,*
건강보험,2020,남자,15-19세,종합병원이상,*
건강보험,2020,남자,15-19세,상급종합병원,*
건강보험,2020,남자,15-19세,전체 병원,*
건강보험,2020,남자,20-24세,종합병원이상,8
건강보험,2020,남자,20-24세,상급종합병원,6
건강보험,2020,남자,20-24세,전체 병원,8
건강보험,2020,남자,25-29세,종합병원이상,36
건강보험,2020,남자,25-29세,상급종합병원,21
건강보험,2020,남자,25-29세,전체 병원,36
건강보험,2020,남자,30-34세,종합병원이상,55
건강보험,2020,남자,30-34세,상급종합병원,32
건강보험,2020,남자,30-34세,전체 병원,55
건강보험,2020,남자,35-39세,종합병원이상,125
건강보험,2020,남자,35-39세,상급종합병원,65
건강보험,2020,남자,35-39세,전체 병원,125
건강보험,2020,남자,40-44세,종합병원이상,272
건강보험,2020,남자,40-44세,상급종합병원,118
건강보험,2020,남자,40-44세,전체 병원,273
건강보험,2020,남자,45-49세,종합병원이상,486
건강보험,2020,남자,45-49세,상급종합병원,232
건강보험,2020,남자,45-49세,전체 병원,486
건강보험,2020,남자,50-54세,종합병원이상,731
건강보험,2020,남자,50-54세,상급종합병원,306
건강보험,2020,남자,50-54세,전체 병원,734
건강보험,2020,남자,55-59세,종합병원이상,924
건강보험,2020,남자,55-59세,상급종합병원,396
건강보험,2020,남자,55-59세,전체 병원,931
건강보험,2020,남자,60-64세,종합병원이상,1084
건강보험,2020,남자,60-64세,상급종합병원,510
건강보험,2020,남자,60-64세,전체 병원,1089
건강보험,2020,남자,65-69세,종합병원이상,913
건강보험,2020,남자,65-69세,상급종합병원,440
건강보험,2020,남자,65-69세,전체 병원,917
건강보험,2020,남자,70-74세,종합병원이상,887
건강보험,2020,남자,70-74세,상급종합병원,414
건강보험,2020,남자,70-74세,전체 병원,890
건강보험,2020,남자,75-79세,종합병원이상,743
건강보험,2020,남자,75-79세,상급종합병원,375
건강보험,2020,남자,75-79세,전체 병원,746
건강보험,2020,남자,80-84세,종합병원이상,615
건강보험,2020,남자,80-84세,상급종합병원,325
